"","State","Agency","Abbr"
"1961","Arkansas","Arkansas Phillips Community College UAEducation",""
"1962","Arkansas","Arkansas Pine Bluff Arsenal Citizen's Advisory CommitteeCommittee",""
"1963","Arkansas","Arkansas Planning CommissionCommission",""
"1964","Arkansas","Arkansas Plantation Agriculture Museum Advisory CommitteeCommittee",""
"1965","Arkansas","Arkansas Police and Fire Retirement System Board of TrusteesBoard",""
"1966","Arkansas","Arkansas Police Corps Planning CommissionCommission",""
"1967","Arkansas","Arkansas Prairie Grove Battlefield State Park Advisory CommissionCommission",""
"1968","Arkansas","Arkansas Prenatal and Early Childhood Nurse Home Visitation ProgramBoard",""
"1969","Arkansas","Arkansas Prevailing Wage Advisory CommitteeCommittee",""
"1970","Arkansas","Arkansas Printing and DuplicationDepartment Department of Commerce FMAS Graphics/Forms Design",""
"1971","Arkansas","Arkansas Project Graduation CommissionCommission",""
"1972","Arkansas","Arkansas Public & Media Relations",""
"1973","Arkansas","Arkansas Public Art Advisory BoardBoard",""
"1974","Arkansas","Arkansas Public Defender Commission Ombudsman DivisionCommission",""
"1975","Arkansas","Arkansas Public Defender Commission Trial Public Defender Office",""
"1976","Arkansas","Arkansas Public Defender CommissionCommission",""
"1977","Arkansas","Arkansas Public Education Technology Advisory BoardBoard",""
"1978","Arkansas","Arkansas Public Employees Retirement System Board of TrusteesBoard",""
"1979","Arkansas","Arkansas Public Employees Retirement System Department",""
"1980","Arkansas","Arkansas Public Health Advisory BoardBoard",""
"1981","Arkansas","Arkansas Public Schools Accountability Advisory Councilcouncil",""
"1982","Arkansas","Arkansas Public Service Commission Public Service Commission - General StaffCommission",""
"1983","Arkansas","Arkansas Public Service Commission Public Service Commission - Tax DivisionCommission",""
"1984","Arkansas","Arkansas Public Service Commission Public Service Commission- Commissioners' StaffCommission",""
"1985","Arkansas","Arkansas Public Service CommissionCommission",""
"1986","Arkansas","Arkansas Public Transportation Coordination Councilcouncil",""
"1987","Arkansas","Arkansas Pulaski County Bar AssociationCounty",""
"1988","Arkansas","Arkansas Pulaski County District CourtDepartment",""
"1989","Arkansas","Arkansas Pulaski Technical College Board of DirectorsBoard",""
"1990","Arkansas","Arkansas Pulaski Technical College Board of TrusteesBoard",""
"1991","Arkansas","Arkansas Pulaski Technical CollegeDepartment",""
"1992","Arkansas","Arkansas Pygmalion Commission on Nontraditional EducationCommission",""
"1993","Arkansas","Arkansas Quality Assurance Performance & TANF Monitoring",""
"1994","Arkansas","Arkansas Receiving & Asset ManagementDepartment Department of Commerce FMAS Property",""
"1995","Arkansas","Arkansas Recreational Trails Fund CommitteeCommittee",""
"1996","Arkansas","Arkansas Rice Research and Promotion BoardBoard",""
"1997","Arkansas","Arkansas River Basin Intrastate Committee",""
"1998","Arkansas","Arkansas Rural Advanced Nursing Practice & Nurse Educator Student Loan/Scholarship ProgramAgency",""
"1999","Arkansas","Arkansas Rural Medical Practice Student Loan and Scholarship BoardBoard",""
"2000","Arkansas","Arkansas Sales Tax Advisory CommitteeCommittee",""
"2001","Arkansas","Arkansas School for the Blind and Arkansas School for the Deaf Board of TrusteesBoard",""
"2002","Arkansas","Arkansas Senate SenatorsLegislative",""
"2003","Arkansas","Arkansas SenateLegislative",""
"2004","Arkansas","Arkansas Service Commission--Formally the Arkansas Commission on National and Community ServiceCommission",""
"2005","Arkansas","Arkansas Soybean Promotion BoardBoard",""
"2006","Arkansas","Arkansas State Athletic Trainers CommitteeCommittee",""
"2007","Arkansas","Arkansas State Board of Registration for ForestersBoard",""
"2008","Arkansas","Arkansas State Claims CommissionCommission",""
"2009","Arkansas","Arkansas State Election Improvement Study CommissionCommission",""
"2010","Arkansas","Arkansas State Employees AssociationAgency",""
"2011","Arkansas","Arkansas State Game and Fish Commission Oversight CommitteeCommittee",""
"2012","Arkansas","Arkansas State Game and Fish CommissionCommission",""
"2013","Arkansas","Arkansas State HospitalAgency",""
"2014","Arkansas","Arkansas State Occupational Therapy Examining CommitteeCommittee",""
"2015","Arkansas","Arkansas State Police Retirement SystemDepartment",""
"2016","Arkansas","Arkansas State Respiratory Care Examining CommitteeCommittee",""
"2017","Arkansas","Arkansas State University at Beebe Arkansas State University at Beebe - Heber Springs CampusDepartment",""
"2018","Arkansas","Arkansas State University at Beebe Arkansas State University at Beebe - Little Rock Air Force Base CampusDepartment",""
"2019","Arkansas","Arkansas State University at Beebe Arkansas State University at Beebe - Searcy CampusDepartment",""
"2020","Arkansas","Arkansas State University at BeebeLocal",""
"2021","Arkansas","Arkansas State University at Mountain HomeLocal",""
"2022","Arkansas","Arkansas State University at NewportLocal",""
"2023","Arkansas","Arkansas State University--SearcyBoard",""
"2024","Arkansas","Arkansas State UniversityLocal",""
"2025","Arkansas","Arkansas Student Loan AuthorityBoard",""
"2026","Arkansas","Arkansas Supreme CourtJudicial",""
"2027","Arkansas","Arkansas Task Force for the Prevention Through Education of Child Sexual AbuseBoard",""
"2028","Arkansas","Arkansas Task Force on Latino and Hispanic AffairsBoard",""
"2029","Arkansas","Arkansas Task Force on Timber Land AssessmentAgency",""
"2030","Arkansas","Arkansas Teacher Housing Development Foundation Board of TrusteesBoard",""
"2031","Arkansas","Arkansas Teacher Housing Development FoundationAgency",""
"2032","Arkansas","Arkansas Teacher Retirement System Board of TrusteesBoard",""
"2033","Arkansas","Arkansas Teacher Retirement SystemDepartment",""
"2034","Arkansas","Arkansas Tech University Board of TrusteesBoard",""
"2035","Arkansas","Arkansas Title Insurance Agent's Licensing BoardBoard",""
"2036","Arkansas","Arkansas Title Insurance Agents' Licensing BoardBoard",""
"2037","Arkansas","Arkansas Transitional Employment Assistance Transition WorkgroupAgency",""
"2038","Arkansas","Arkansas Tuition Trust AuthorityBoard",""
"2039","Arkansas","Arkansas Turnpike AuthorityAgency",""
"2040","Arkansas","Arkansas Valley Technical Institute Board of DirectorsBoard",""
"2041","Arkansas","Arkansas Wheat Promotion BoardBoard",""
"2042","Arkansas","Arkansas Wireless Information Network Work GroupAgency",""
"2043","Arkansas","Arkansas Workforce Investment BoardBoard",""
"2044","Arkansas","Arkansas Young and Beginning Farmer Advisory BoardBoard",""
"2045","Arkansas","Arkansas-Oklahoma Joint Study CommitteeCommittee",""
"2046","Arkansas","Arkansas-Oklahoma River Compact CommissionCommission",""
"2047","Arkansas","ArkansasCommission Film Commission",""
"2048","Arkansas","Black History Commission of ArkansasCommission",""
"2049","Arkansas","Board of Trustees for Southern Arkansas UniversityBoard",""
"2050","Arkansas","Board of Trustees of Arkansas State UniversityBoard",""
"2051","Arkansas","Board of Visitors for the Arkansas School for Mathematics Sciences and the ArtsBoard",""
"2052","Arkansas","Central Arkansas Water CommissionCommission",""
"2053","Arkansas","Commissioner Arkansas Rehabilitation ServicesCommission",""
"2054","Arkansas","Committee on Closing the Academic Achievement Gap in ArkansasCommittee",""
"2055","Arkansas","Conflicts and Appellate DivisionCommission Arkansas Public Defender Commission Capital",""
"2056","Arkansas","Department of Commerce Arkansas Aviation and Aerospace CommissionCommission",""
"2057","Arkansas","Department of Commerce Arkansas Department of Aeronautics CommissionCommission",""
"2058","Arkansas","Department of Commerce Arkansas Development Finance Authority",""
"2059","Arkansas","Department of Commerce Arkansas Development Finance AuthorityDepartment",""
"2060","Arkansas","Department of Commerce Arkansas Division of AeronauticsDepartment",""
"2061","Arkansas","Department of Commerce Arkansas Economic Development CommissionCommission",""
"2062","Arkansas","Department of Commerce Arkansas Film CommissionCommission",""
"2063","Arkansas","Department of Commerce Arkansas Housing Trust FundBoard",""
"2064","Arkansas","Department of Commerce Arkansas Insurance DepartmentDepartment",""
"2065","Arkansas","Department of Commerce Arkansas Job Link SystemDepartment",""
"2066","Arkansas","Department of Commerce Arkansas Rehabilitation ServicesDepartment",""
"2067","Arkansas","Department of Commerce Arkansas Rural Development CommissionCommission",""
"2068","Arkansas","Department of Commerce Arkansas Science & Technology Authority",""
"2069","Arkansas","Department of Commerce Arkansas Science and Technology AuthorityBoard",""
"2070","Arkansas","Department of Commerce Arkansas Securities DepartmentDepartment",""
"2071","Arkansas","Department of Commerce Arkansas State Bank DepartmentDepartment",""
"2072","Arkansas","Department of Commerce Arkansas Waterways CommissionCommission",""
"2073","Arkansas","Department of Commerce Arkansas Wine Producers Councilcouncil",""
"2074","Arkansas","Department of Commerce Arkansas Workforce Development BoardBoard",""
"2075","Arkansas","Department of Commerce Economic Development of Arkansas Fund CommissionCommission",""
"2076","Arkansas","Department of Corrections Arkansas Sentencing CommissionCommission",""
"2077","Arkansas","Department of Corrections Arkansas State Council For the Interstate Commission For Adult Offender SupervisionCommission",""
"2078","Arkansas","Department of Education Arkansas Division of Higher EducationDepartment",""
"2079","Arkansas","Department of Education Arkansas Higher Education Coordinating BoardBoard",""
"2080","Arkansas","Department of Education Arkansas School for the BlindDepartment",""
"2081","Arkansas","Department of Education Arkansas School for the Deaf",""
"2082","Arkansas","Department of Education Arkansas State LibraryDepartment",""
"2083","Arkansas","Department of Education Arkansas Workforce Development BoardBoard",""
"2084","Arkansas","Department of Energy and Environment Arkansas Geological SurveyCommission",""
"2085","Arkansas","Department of Energy and Environment Arkansas Pollution Control and Ecology CommissionCommission",""
"2086","Arkansas","Department of Finance & Administration Arkansas Administrative Statewide Information System Department",""
"2087","Arkansas","Department of Finance & Administration Arkansas Integrated Revenue Systems Department",""
"2088","Arkansas","Department of Finance & Administration Arkansas Lottery CommissionCommission",""
"2089","Arkansas","Department of Finance & Administration Arkansas Racing CommissionCommission",""
"2090","Arkansas","Department of Finance & Administration Arkansas Racing Division OfficeDepartment",""
"2091","Arkansas","Department of Finance & Administration Arkansas Tobacco ControlBoard",""
"2092","Arkansas","Department of Finance & Administration Office of Arkansas LotteryDepartment",""
"2093","Arkansas","Department of Health Arkansas Board of Dispensing OpticiansBoard",""
"2094","Arkansas","Department of Health Arkansas Board of Examiners in CounselingBoard",""
"2095","Arkansas","Department of Health Arkansas Board of Hearing Instrument DispensersBoard",""
"2096","Arkansas","Department of Health Arkansas Board of Podiatric MedicineBoard",""
"2097","Arkansas","Department of Health Arkansas Dietetics Licensing BoardBoard",""
"2098","Arkansas","Department of Health Arkansas Health Services Permit AgencyCommission",""
"2099","Arkansas","Department of Health Arkansas Minority Health Commission",""
"2100","Arkansas","Department of Health Arkansas Orthotics Prosthetics and Pedorthics Advisory BoardBoard",""
"2101","Arkansas","Department of Health Arkansas Psychology BoardBoard",""
"2102","Arkansas","Department of Health Arkansas Social Work Licensing BoardBoard",""
"2103","Arkansas","Department of Health Arkansas State Board of Acupuncture and Related TechniquesBoard",""
